,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Cluster,Spending_Score_Encoded
0,462809,Male,No,22,No,Healthcare,1,Low,4,Cat_4,D,2,2
2,466315,Female,Yes,67,Yes,Engineer,1,Low,1,Cat_6,B,0,2
3,461735,Male,Yes,67,Yes,Lawyer,0,High,2,Cat_6,B,0,1
5,461319,Male,Yes,56,No,Artist,0,Average,2,Cat_6,C,1,0
6,460156,Male,No,32,Yes,Healthcare,1,Low,3,Cat_6,C,2,2
7,464347,Female,No,33,Yes,Healthcare,1,Low,3,Cat_6,D,2,2
8,465015,Female,Yes,61,Yes,Engineer,0,Low,3,Cat_7,D,0,2
9,465176,Female,Yes,55,Yes,Artist,1,Average,4,Cat_6,C,1,0
10,464041,Female,No,26,Yes,Engineer,1,Low,3,Cat_6,A,2,2
11,464942,Male,No,19,No,Healthcare,4,Low,4,Cat_4,D,2,2
14,460849,Female,Yes,58,No,Doctor,0,Low,1,Cat_3,B,0,2
15,460563,Female,No,41,No,Healthcare,1,Low,2,Cat_1,C,0,2
16,466865,Female,No,32,No,Homemaker,9,Low,5,Cat_3,D,2,2
17,461644,Male,No,31,No,Healthcare,1,Low,6,Cat_6,B,2,2
18,466772,Male,Yes,58,Yes,Entertainment,1,Average,4,Cat_6,B,1,0
19,464291,Female,Yes,79,Yes,Artist,0,High,1,Cat_6,C,0,1
20,466084,Male,Yes,49,Yes,Homemaker,12,Low,1,Cat_3,A,2,2
21,459675,Female,No,18,No,Healthcare,3,Low,4,Cat_6,D,2,2
22,465602,Male,Yes,33,Yes,Artist,13,Low,2,Cat_3,A,2,2
23,459168,Female,No,36,Yes,Artist,5,Low,2,Cat_6,B,2,2
25,465083,Male,Yes,56,No,Artist,1,Average,3,Cat_6,C,1,0
26,467604,Male,No,31,No,Healthcare,9,Low,8,Cat_4,A,2,2
27,459717,Male,Yes,49,Yes,Artist,1,Average,3,Cat_6,C,1,0
28,465882,Male,No,35,Yes,Artist,0,Low,1,Cat_6,B,0,2
29,461996,Female,No,35,No,Artist,5,Low,4,Cat_6,C,2,2
30,463331,Female,Yes,45,Yes,Artist,0,Low,3,Cat_6,C,0,2
31,462216,Female,Yes,42,No,Doctor,1,Low,2,Cat_4,A,0,2
32,462454,Male,No,19,No,Healthcare,1,Low,3,Cat_2,D,2,2
34,459861,Female,Yes,83,No,Lawyer,1,High,2,Cat_6,D,0,1
35,467917,Female,No,27,Yes,Healthcare,3,Low,4,Cat_1,D,2,2
36,465572,Male,No,32,No,Doctor,5,Low,1,Cat_4,D,2,2
37,460593,Female,Yes,28,No,Healthcare,1,Average,5,Cat_3,D,1,0
38,465891,Female,Yes,28,Yes,Artist,8,Low,2,Cat_6,A,2,2
40,462044,Female,No,47,Yes,Artist,4,Low,1,Cat_6,B,0,2
41,465686,Female,No,22,No,Healthcare,0,Low,2,Cat_6,D,2,2
42,464590,Female,No,27,Yes,Artist,14,Low,3,Cat_6,A,2,2
44,466152,Male,Yes,40,No,Engineer,8,Low,1,Cat_6,A,2,2
46,465729,Male,Yes,41,Yes,Artist,0,Average,4,Cat_4,B,1,0
48,462442,Male,No,19,No,Healthcare,0,Low,4,Cat_6,D,2,2
49,464191,Female,No,45,Yes,Engineer,1,Low,1,Cat_6,A,0,2
50,462078,Female,Yes,61,No,Artist,1,Average,2,Cat_2,B,1,0
51,467873,Female,Yes,36,Yes,Artist,1,Average,2,Cat_6,C,1,0
52,461270,Male,Yes,40,Yes,Artist,1,Low,1,Cat_3,A,0,2
53,462960,Female,Yes,57,Yes,Entertainment,0,Average,2,Cat_6,C,1,0
54,464961,Male,Yes,76,No,Marketing,1,Low,1,Cat_4,A,0,2
55,462110,Male,Yes,32,Yes,Artist,14,Average,2,Cat_6,B,1,0
56,465769,Male,No,25,Yes,Healthcare,9,Low,4,Cat_6,D,2,2
58,465269,Female,Yes,45,Yes,Artist,1,Average,3,Cat_3,C,1,0
60,461891,Male,Yes,48,Yes,Artist,0,Average,2,Cat_6,C,1,0
61,466935,Male,Yes,55,Yes,Artist,9,Average,2,Cat_1,C,1,0
62,464091,Male,Yes,74,Yes,Lawyer,0,High,3,Cat_6,D,0,1
63,464535,Male,Yes,56,Yes,Lawyer,1,High,2,Cat_6,A,0,1
64,463108,Male,Yes,59,Yes,Lawyer,7,High,2,Cat_6,A,0,1
65,461356,Male,No,25,Yes,Entertainment,0,Low,2,Cat_6,A,2,2
66,464570,Male,Yes,31,Yes,Doctor,0,Average,2,Cat_6,A,1,0
67,464580,Male,No,27,No,Artist,8,Low,4,Cat_6,A,2,2
68,465233,Male,Yes,57,Yes,Artist,0,Average,4,Cat_6,B,1,0
70,459954,Male,Yes,27,Yes,Healthcare,8,Low,2,Cat_6,D,2,2
71,460219,Female,Yes,51,Yes,Entertainment,8,Average,2,Cat_6,A,1,0
72,460877,Female,Yes,47,No,Artist,0,Average,5,Cat_6,B,1,0
73,460191,Female,No,33,No,Healthcare,8,Low,4,Cat_6,D,2,2
74,463742,Male,Yes,56,Yes,Artist,0,Average,4,Cat_6,C,1,0
75,463691,Female,No,33,No,Homemaker,0,Low,3,Cat_6,B,2,2
76,463250,Female,No,36,Yes,Doctor,0,Low,2,Cat_6,D,2,2
77,463952,Male,Yes,51,No,Artist,4,Low,3,Cat_4,A,2,2
78,461558,Male,Yes,45,Yes,Engineer,2,Average,2,Cat_6,C,1,0
80,465379,Male,No,30,No,Healthcare,0,Low,4,Cat_6,C,2,2
81,463814,Female,No,26,No,Healthcare,6,Low,3,Cat_5,D,2,2
82,466938,Male,Yes,63,Yes,Artist,8,Low,1,Cat_6,A,0,2
83,460671,Male,Yes,35,No,Entertainment,8,Average,4,Cat_3,B,1,0
84,462204,Female,No,19,No,Marketing,1,Low,3,Cat_4,A,2,2
85,461671,Male,No,32,No,Healthcare,7,Low,5,Cat_6,D,2,2
86,459384,Male,Yes,52,Yes,Artist,0,Average,3,Cat_6,C,1,0
87,459905,Female,Yes,36,Yes,Artist,5,Low,2,Cat_6,C,2,2
88,464734,Female,No,42,No,Entertainment,7,Low,3,Cat_4,D,2,2
89,464125,Male,Yes,40,No,Doctor,0,Average,2,Cat_3,D,1,0
90,467434,Male,No,39,Yes,Entertainment,0,Low,3,Cat_1,B,2,2
91,460956,Female,Yes,47,Yes,Artist,1,Average,4,Cat_3,C,1,0
92,465179,Female,Yes,61,Yes,Artist,1,High,2,Cat_6,C,0,1
93,463338,Male,Yes,32,No,Entertainment,1,Low,2,Cat_3,D,2,2
94,467066,Male,Yes,55,No,Artist,0,Low,1,Cat_6,B,0,2
96,459976,Female,No,38,Yes,Artist,0,Low,1,Cat_6,D,0,2
97,461334,Male,Yes,63,Yes,Artist,0,High,2,Cat_6,C,0,1
